sample	region	gene	qv1	qv2	qv_sum	qv_fraction	error_rate1	error_rate2	avg_error_rate	condition
HG03486	chr9_133248725_133276039	ABO	30.2595	34.8684	65.1279	0.96	0.000941998041812544	0.000325956765794279	0.000633977403803412	CMRGs-30X
HG03516	chr9_133248725_133276039	ABO	47.3937	47.4189	94.8126	1	1.8223424842802e-05	1.81179893484245e-05	1.81707070956132e-05	CMRGs-30X
HG03540	chr9_133248725_133276039	ABO	36.6137	44.3835	80.9972	0.96	0.000218087111286125	3.6446010839417e-05	0.000127266561062771	CMRGs-30X
HG03579	chr9_133248725_133276039	ABO	30.9855	37.4079	68.3934	0.97	0.000796984729050357	0.000181639375470683	0.00048931205226052	CMRGs-30X
NA18906	chr9_133248725_133276039	ABO	47.4192	39.642	87.0612	1	1.81167378452847e-05	0.000108592542131262	6.33546399882736e-05	CMRGs-30X
NA20129	chr9_133248725_133276039	ABO	44.4111	47.4052	91.8163	0.97	3.62151259549098e-05	1.81752335412458e-05	2.71951797480778e-05	CMRGs-30X
HG00438	chr17_1003102_1229887	ABR	17.0844	15.1011	32.1855	0.81	0.0195686109961248	0.0308951280812949	0.0252318695387098	CMRGs-30X
HG00621	chr17_1003102_1229887	ABR	21.3062	13.0997	34.4059	0.87	0.00740252699810342	0.0489812653259264	0.0281918961620149	CMRGs-30X
HG00673	chr17_1003102_1229887	ABR	20.6967	14.8934	35.5901	0.78	0.0085178502383868	0.0324085798064087	0.0204632150223977	CMRGs-30X
HG00735	chr17_1003102_1229887	ABR	17.0846	14.0336	31.1182	0.83	0.0195677098490352	0.0395039024361116	0.0295358061425734	CMRGs-30X
HG00741	chr17_1003102_1229887	ABR	18.4253	12.0273	30.4526	0.79	0.0143704378245999	0.0627003550364028	0.0385353964305014	CMRGs-30X
HG01071	chr17_1003102_1229887	ABR	10.3353	17.0952	27.4305	0.69	0.0925699437860404	0.0195200083901274	0.0560449760880839	CMRGs-30X
HG01106	chr17_1003102_1229887	ABR	21.8128	17.5273	39.3401	0.94	0.00658749047098132	0.0176713610418819	0.0121294257564316	CMRGs-30X
HG01109	chr17_1003102_1229887	ABR	16.0809	19.8158	35.8967	0.94	0.0246552834629567	0.0104332592728821	0.0175442713679194	CMRGs-30X
HG01175	chr17_1003102_1229887	ABR	13.6859	19.7085	33.3944	0.84	0.0427966721714539	0.010694241814695	0.0267454569930744	CMRGs-30X
HG01243	chr17_1003102_1229887	ABR	11.8311	15.4039	27.235	0.78	0.0655979096013969	0.0288144278174781	0.0472061687094375	CMRGs-30X
HG01258	chr17_1003102_1229887	ABR	12.7834	16.6772	29.4606	0.71	0.0526817265799479	0.0214921567810052	0.0370869416804765	CMRGs-30X
HG01358	chr17_1003102_1229887	ABR	16.6412	11.5624	28.2036	0.7	0.0216710522878235	0.0697846653187881	0.0457278588033058	CMRGs-30X
HG01361	chr17_1003102_1229887	ABR	24.7928	17.1169	41.9097	0.96	0.00331680546252362	0.0194227177917874	0.0113697616271555	CMRGs-30X
HG01891	chr17_1003102_1229887	ABR	56.7491	14.9512	71.7003	0.98	2.11392706917423e-06	0.0319801134441047	0.0159911136855869	CMRGs-30X
HG01928	chr17_1003102_1229887	ABR	16.3014	15.5138	31.8152	0.84	0.0234347324702422	0.0280944154291707	0.0257645739497065	CMRGs-30X
HG01952	chr17_1003102_1229887	ABR	24.2888	17.8846	42.1734	0.98	0.00372494616102424	0.0162757121358764	0.0100003291484503	CMRGs-30X
HG01978	chr17_1003102_1229887	ABR	21.3314	18.9503	40.2817	1	0.00735969810614591	0.0127341511357868	0.0100469246209663	CMRGs-30X
HG02055	chr17_1003102_1229887	ABR	16.7566	21.9947	38.7513	0.98	0.0211027959684364	0.00631727815991897	0.0137100370641777	CMRGs-30X
HG02080	chr17_1003102_1229887	ABR	17.2306	20.178	37.4086	0.97	0.0189208219977114	0.00959842553582906	0.0142596237667702	CMRGs-30X
HG02145	chr17_1003102_1229887	ABR	14.2125	17.5812	31.7937	0.86	0.0379096696550681	0.0174533983107108	0.0276815339828894	CMRGs-30X
HG02148	chr17_1003102_1229887	ABR	17.376	17.6923	35.0683	0.82	0.0182978473429541	0.0170125729314968	0.0176552101372255	CMRGs-30X
HG02257	chr17_1003102_1229887	ABR	18.2498	11.9864	30.2362	0.8	0.0149630456187938	0.0632936294266158	0.0391283375227048	CMRGs-30X
HG02572	chr17_1003102_1229887	ABR	15.012	20.4615	35.4735	0.96	0.0315355202455072	0.00899186959717248	0.0202636949213398	CMRGs-30X
HG02622	chr17_1003102_1229887	ABR	18.1252	14.83	32.9552	0.9	0.0153985561145511	0.0328851630875983	0.0241418596010747	CMRGs-30X
HG02630	chr17_1003102_1229887	ABR	18.7601	21.1517	39.9118	0.96	0.0133042378348569	0.00767061172572097	0.0104874247802889	CMRGs-30X
HG02717	chr17_1003102_1229887	ABR	16.1979	17.5167	33.7146	0.89	0.0239999313805789	0.0177145449220185	0.0208572381512987	CMRGs-30X
HG02723	chr17_1003102_1229887	ABR	18.2187	18.1941	36.4128	0.9	0.0150705811551735	0.0151561885688133	0.0151133848619934	CMRGs-30X
HG02886	chr17_1003102_1229887	ABR	17.5258	15.993	33.5188	0.92	0.0176774655679117	0.0251593837869271	0.0214184246774194	CMRGs-30X
HG03098	chr17_1003102_1229887	ABR	18.5983	15.0183	33.6166	0.91	0.0138092470725042	0.03148980708208	0.0226495270772921	CMRGs-30X
HG03453	chr17_1003102_1229887	ABR	45.2308	9.72354	54.95434	0.85	2.99861010371592e-05	0.106572707683553	0.0533013468922949	CMRGs-30X
HG03486	chr17_1003102_1229887	ABR	18.3521	16.9004	35.2525	0.93	0.0146147032002101	0.0204154990231512	0.0175151011116807	CMRGs-30X
HG03516	chr17_1003102_1229887	ABR	20.2093	14.0443	34.2536	0.86	0.00952949748997882	0.0394066938612323	0.0244680956756056	CMRGs-30X
HG03540	chr17_1003102_1229887	ABR	16.5014	12.9219	29.4233	0.86	0.0223799957644772	0.0510281707394694	0.0367040832519733	CMRGs-30X
HG03579	chr17_1003102_1229887	ABR	18.4655	14.4537	32.9192	0.79	0.0142380331579529	0.0358616278996532	0.025049830528803	CMRGs-30X
NA18906	chr17_1003102_1229887	ABR	20.6058	18.5644	39.1702	0.95	0.00869801195006011	0.0139174605838691	0.0113077362669646	CMRGs-30X
NA20129	chr17_1003102_1229887	ABR	30.2548	20.463	50.7178	0.98	0.000943018038045494	0.00898876445170908	0.00496589124487729	CMRGs-30X
HG00438	chr4_73431138_73456174	AFP	43.9756	46.9859	90.9615	1	4.00350154091854e-05	2.00175075047369e-05	3.00262614569612e-05	CMRGs-30X
HG00621	chr4_73431138_73456174	AFP	43.9756	46.9859	90.9615	1	4.00350154091854e-05	2.00175075047369e-05	3.00262614569612e-05	CMRGs-30X
HG00673	chr4_73431138_73456174	AFP	46.9859	46.9859	93.9718	1	2.00175075047369e-05	2.00175075047369e-05	2.00175075047369e-05	CMRGs-30X
HG00735	chr4_73431138_73456174	AFP	46.9866	46.9866	93.9732	1	2.00142813237368e-05	2.00142813237368e-05	2.00142813237368e-05	CMRGs-30X
HG00741	chr4_73431138_73456174	AFP	46.9859	43.9763	90.9622	1	2.00175075047369e-05	4.00285630471208e-05	3.00230352759289e-05	CMRGs-30X
HG01071	chr4_73431138_73456174	AFP	46.9859	39.2042	86.1901	1	2.00175075047369e-05	0.000120110230385873	7.00638689453052e-05	CMRGs-30X
HG01106	chr4_73431138_73456174	AFP	46.9859	43.9764	90.9623	1	2.00175075047369e-05	4.00276413660065e-05	3.00225744353717e-05	CMRGs-30X
HG01109	chr4_73431138_73456174	AFP	46.9854	43.9752	90.9606	1	2.00198122381245e-05	4.00387029401871e-05	3.00292575891558e-05	CMRGs-30X
HG01175	chr4_73431138_73456174	AFP	40.9653	36.1951	77.1604	0.85	8.00700316177944e-05	0.000240154096972469	0.000160112064295132	CMRGs-30X
HG01243	chr4_73431138_73456174	AFP	30.5526	46.9855	77.5381	0.98	0.000880521571463822	2.00193512702193e-05	0.000450270461367021	CMRGs-30X
HG01258	chr4_73431138_73456174	AFP	46.9859	46.9866	93.9725	1	2.00175075047369e-05	2.00142813237368e-05	2.00158944142368e-05	CMRGs-30X
HG01358	chr4_73431138_73456174	AFP	46.9859	46.9854	93.9713	1	2.00175075047369e-05	2.00198122381245e-05	2.00186598714307e-05	CMRGs-30X
HG01361	chr4_73431138_73456174	AFP	46.9861	36.1941	83.1802	1	2.00165856856751e-05	0.000240209400863691	0.000130112993274683	CMRGs-30X
HG01891	chr4_73431138_73456174	AFP	46.9855	43.9752	90.9607	1	2.00193512702193e-05	4.00387029401871e-05	3.00290271052032e-05	CMRGs-30X
HG01928	chr4_73431138_73456174	AFP	46.9854	46.9866	93.972	1	2.00198122381245e-05	2.00142813237368e-05	2.00170467809306e-05	CMRGs-30X
HG01952	chr4_73431138_73456174	AFP	35.5246	46.9867	82.5113	1	0.00028024637262284	2.00138204831842e-05	0.000150130096553012	CMRGs-30X
HG01978	chr4_73431138_73456174	AFP	46.9867	46.9867	93.9734	1	2.00138204831842e-05	2.00138204831842e-05	2.00138204831842e-05	CMRGs-30X
HG02055	chr4_73431138_73456174	AFP	46.9866	43.9752	90.9618	1	2.00142813237368e-05	4.00387029401871e-05	3.00264921319619e-05	CMRGs-30X
HG02080	chr4_73431138_73456174	AFP	43.9756	31.1889	75.1645	0.97	4.00350154091854e-05	0.000760518880085455	0.00040027694774732	CMRGs-30X
HG02145	chr4_73431138_73456174	AFP	40.9649	46.9859	87.9508	1	8.00774066798712e-05	2.00175075047369e-05	5.0047457092304e-05	CMRGs-30X
HG02148	chr4_73431138_73456174	AFP	36.1941	46.9866	83.1807	1	0.000240209400863691	2.00142813237368e-05	0.000130111841093714	CMRGs-30X
HG02257	chr4_73431138_73456174	AFP	43.9758	36.1941	80.1699	0.88	4.00331717710436e-05	0.000240209400863691	0.000140121286317367	CMRGs-30X
HG02572	chr4_73431138_73456174	AFP	36.1951	35.5251	71.7202	0.83	0.000240154096972469	0.000280214109924067	0.000260184103448268	CMRGs-30X
HG02622	chr4_73431138_73456174	AFP	29.9958	39.2144	69.2102	0.98	0.00100096755351725	0.000119828466089867	0.00056039800980356	CMRGs-30X
HG02630	chr4_73431138_73456174	AFP	34.4332	32.8358	67.269	0.95	0.000360313056716622	0.00052049912048892	0.000440406088602771	CMRGs-30X
HG02717	chr4_73431138_73456174	AFP	35.5256	31.6716	67.1972	0.84	0.000280181850939462	0.000680518600187666	0.000480350225563564	CMRGs-30X
HG02723	chr4_73431138_73456174	AFP	31.4223	34.4328	65.8551	0.92	0.000720725685683342	0.000360346244303871	0.000540535964993607	CMRGs-30X
HG02886	chr4_73431138_73456174	AFP	34.9459	46.9855	81.9314	0.93	0.000320191648420563	2.00193512702193e-05	0.000170105499845391	CMRGs-30X
HG03098	chr4_73431138_73456174	AFP	32.2152	31.9349	64.1501	0.91	0.000600454356325828	0.000640486529146897	0.000620470442736363	CMRGs-30X
HG03453	chr4_73431138_73456174	AFP	46.9855	31.9349	78.9204	0.96	2.00193512702193e-05	0.000640486529146897	0.000330252940208558	CMRGs-30X
HG03486	chr4_73431138_73456174	AFP	46.9859	46.9854	93.9713	1	2.00175075047369e-05	2.00198122381245e-05	2.00186598714307e-05	CMRGs-30X
HG03516	chr4_73431138_73456174	AFP	39.2044	46.9855	86.1899	1	0.000120104699232714	2.00193512702193e-05	7.00620252514666e-05	CMRGs-30X
HG03540	chr4_73431138_73456174	AFP	30.3595	46.9854	77.3449	0.98	0.000920555548526706	2.00198122381245e-05	0.000470287680382415	CMRGs-30X
HG03579	chr4_73431138_73456174	AFP	46.9859	39.2144	86.2003	1	2.00175075047369e-05	0.000119828466089867	6.99229867973021e-05	CMRGs-30X
