gene_name	total_calls	pct_Q5	pct_Q4_or_higher	pct_Q3_or_higher	n_samples
PTGER3	58	100	100	100	58
PTH2R	59	100	100	100	59
PTK6	42	100	100	100	42
RABGEF1	54	100	100	100	54
RBFOX3	59	100	100	100	59
RCN1	59	100	100	100	59
RHCE	58	100	100	100	58
RUNX1	57	100	100	100	57
RYR1	60	100	100	100	60
SCAPER	53	100	100	100	53
SCFD2	54	100	100	100	54
SEPTIN9	28	100	100	100	28
SESTD1	59	100	100	100	59
SIPA1L1	59	100	100	100	59
SIRPB1	60	100	100	100	60
SLC18A1	58	100	100	100	58
SLC35F4	59	100	100	100	59
SLC39A11	60	100	100	100	60
SLC4A4	58	100	100	100	58
SOCS5	60	100	100	100	60
TAFA2	59	100	100	100	59
THEG	32	100	100	100	32
TIAM2	53	100	100	100	53
TLR1	56	100	100	100	56
TMEM132C	57	100	100	100	57
TRPM3	60	100	100	100	60
TTC28	55	100	100	100	55
TTLL2	48	100	100	100	48
TXNRD1	60	100	100	100	60
UGT1A10	54	100	100	100	54
UGT2B28	57	100	100	100	57
UPF2	60	100	100	100	60
USP28	59	100	100	100	59
WASHC2C	58	100	100	100	58
WDPCP	58	100	100	100	58
ZAN	56	100	100	100	56
ZBTB20	60	100	100	100	60
ZNF626	55	100	100	100	55
ZNF844	58	100	100	100	58
NUTM2G	67	98.50746268656717	100	100	58
CELA3B	62	98.38709677419355	100	100	62
HHAT	62	98.38709677419355	100	100	62
RPL24	62	98.38709677419355	100	100	62
SPATA5	61	98.36065573770492	100	100	61
VWDE	61	98.36065573770492	100	100	61
ATF6	60	98.33333333333333	98.33333333333333	98.33333333333333	60
PATJ	60	98.33333333333333	100	100	60
PRKG2	60	98.33333333333333	100	100	60
ROBO2	60	98.33333333333333	100	100	60
SPAG17	60	98.33333333333333	100	100	60
SPATA45	60	98.33333333333333	100	100	60
WWOX	60	98.33333333333333	100	100	60
CCDC40	59	98.30508474576271	100	100	59
GALNTL6	59	98.30508474576271	100	100	59
LRRC40	59	98.30508474576271	100	100	59
PCDHA1	59	98.30508474576271	100	100	59
TUSC3	59	98.30508474576271	100	100	59
ACOT1	58	98.27586206896552	98.27586206896552	100	58
FBXO22	58	98.27586206896552	100	100	58
LRRTM4	58	98.27586206896552	100	100	58
MAGI2	58	98.27586206896552	100	100	58
NR5A2	58	98.27586206896552	100	100	58
OR4C11	58	98.27586206896552	100	100	58
PCLO	58	98.27586206896552	100	100	58
PRH1	58	98.27586206896552	100	100	58
SFMBT1	58	98.27586206896552	100	100	58
SLC2A14	58	98.27586206896552	100	100	58
SUMF1	58	98.27586206896552	100	100	58
TRIM64C	58	98.27586206896552	100	100	58
ACTA2	57	98.24561403508773	100	100	57
ARF1	57	98.24561403508773	100	100	57
BORCS5	57	98.24561403508773	100	100	57
CCM2L	56	98.21428571428571	100	100	56
TPTE2	56	98.21428571428571	100	100	56
ADGRG7	55	98.18181818181819	100	100	55
MAP3K2	54	98.14814814814815	100	100	54
CFHR1	52	98.07692307692308	100	100	52
CLEC18A	52	98.07692307692308	100	100	52
CYP4F12	52	98.07692307692308	100	100	52
RNASE1	52	98.07692307692308	100	100	52
NBPF3	51	98.03921568627452	100	100	51
B3GNTL1	49	97.95918367346938	100	100	49
PDPK1	49	97.95918367346938	100	100	49
CBX2	45	97.77777777777777	100	100	45
WDR11	43	97.67441860465117	100	100	43
STOX1	61	96.72131147540983	100	100	61
CAPN8	60	96.66666666666667	100	100	60
KLRC1	60	96.66666666666667	98.33333333333333	100	60
PGR	60	96.66666666666667	100	100	60
CACNA1C	59	96.61016949152543	100	100	59
CLHC1	59	96.61016949152543	100	100	59
ABCG8	58	96.55172413793103	100	100	58
APOBEC3A	58	96.55172413793103	98.27586206896552	100	58
DAPL1	58	96.55172413793103	100	100	58
IQCJ	58	96.55172413793103	100	100	58
ZNF675	58	96.55172413793103	100	100	58
ABCA13	57	96.49122807017544	100	100	57
ROBO1	57	96.49122807017544	100	100	57
MAPK8IP3	56	96.42857142857143	100	100	56
CYP2A6	53	96.22641509433963	98.11320754716981	98.11320754716981	53
RNPEPL1	53	96.22641509433963	100	100	53
THSD7B	52	96.15384615384616	100	100	52
OR1A1	50	96	98	100	50
KANK1	47	95.74468085106383	100	100	47
TPSAB1	45	95.55555555555556	100	100	45
ATP1B1	59	94.91525423728814	100	100	59
DOCK8	59	94.91525423728814	100	100	59
OR5P2	59	94.91525423728814	100	100	59
OR52N1	58	94.82758620689656	100	100	58
SIGLEC14	58	94.82758620689656	96.55172413793103	98.27586206896552	58
CR1	57	94.73684210526316	98.24561403508773	98.24561403508773	57
DHRS4L2	57	94.73684210526316	100	100	57
HLA-DQA1	57	94.73684210526316	100	100	57
OR2L2	56	94.64285714285714	100	100	56
SSU72L2	55	94.54545454545455	96.36363636363636	98.18181818181819	55
SHANK2	54	94.44444444444444	100	100	54
TTC8	52	94.23076923076923	100	100	52
CTRB1	62	93.54838709677419	100	100	62
CHST5	61	93.44262295081967	100	100	61
MSR1	61	93.44262295081967	100	100	61
ZNF257	59	93.22033898305085	100	100	59
GRK1	44	93.18181818181819	97.72727272727273	100	44
NEB	56	92.85714285714286	100	100	56
CHTF18	52	92.3076923076923	100	100	52
MICA	49	91.83673469387755	100	100	49
RNF150	61	91.80327868852459	100	100	61
NRG1	60	91.66666666666667	100	100	60
ANKRD36C	47	91.48936170212765	100	100	47
ENSG	54	90.74074074074075	98.14814814814815	100	54
SPATA31D4	69	89.85507246376811	95.65217391304348	95.65217391304348	58
CYP2D7	57	89.47368421052632	98.24561403508773	100	57
MTX1	56	89.28571428571429	98.21428571428571	98.21428571428571	56
C4A	61	88.52459016393442	96.72131147540983	100	61
MEI4	60	88.33333333333333	100	100	60
ULK4	61	86.88524590163935	100	100	61
HEATR6	60	86.66666666666667	100	100	60
ZNF385B	60	86.66666666666667	100	100	60
GDAP1	59	86.44067796610169	100	100	59
TARP	59	86.44067796610169	100	100	59
PLGRKT	51	86.27450980392157	100	100	51
UGT2B17	56	85.71428571428571	91.07142857142857	100	56
GOLGA8A	55	85.45454545454545	100	100	55
PRB1	57	84.21052631578948	91.2280701754386	94.73684210526316	57
MBD3L2	36	83.33333333333333	97.22222222222223	100	36
SLC22A2	60	83.33333333333333	100	100	60
GSTM1	59	83.05084745762711	93.22033898305085	100	59
LCE1D	59	83.05084745762711	94.91525423728814	100	59
SGCD	58	82.75862068965517	98.27586206896552	100	58
NUTM2A	57	82.45614035087719	98.24561403508773	100	57
CDH13	59	81.35593220338983	100	100	59
PHACTR1	58	81.03448275862068	98.27586206896552	100	58
RGPD1	58	81.03448275862068	98.27586206896552	100	58
CTAGE6	57	80.70175438596492	92.98245614035088	98.24561403508773	57
NUDT9	55	80	100	100	55
MRGPRX1	57	78.94736842105263	91.2280701754386	91.2280701754386	57
KIR2DL1	55	78.18181818181819	90.9090909090909	100	55
OR2G6	54	77.77777777777777	98.14814814814815	98.14814814814815	54
FCGBP	58	77.58620689655173	94.82758620689656	96.55172413793103	58
RAG1	57	77.19298245614036	96.49122807017544	100	57
ANKRD30B	60	76.66666666666667	100	100	60
CDK20	60	71.66666666666667	100	100	56
SAMSN1	52	71.15384615384616	100	100	52
NPSR1	60	65	96.66666666666667	100	60
DMBT1	61	63.9344262295082	85.24590163934427	100	61
TPPP	59	62.71186440677966	76.27118644067797	79.66101694915254	59
CLEC18B	56	57.142857142857146	85.71428571428571	98.21428571428571	56
PGA4	53	54.716981132075475	84.90566037735849	88.67924528301887	53
TRIM49C	53	52.83018867924528	92.45283018867924	96.22641509433963	53
C2orf78	58	51.724137931034484	86.20689655172414	100	58
AMY1A	35	45.714285714285715	85.71428571428571	94.28571428571429	35
POTEH	46	43.47826086956522	76.08695652173913	97.82608695652173	46
ANKRD30A	59	42.3728813559322	84.7457627118644	98.30508474576271	59
ARHGEF35	56	39.285714285714285	58.92857142857143	76.78571428571429	56
TAF11L11	59	38.983050847457626	81.35593220338983	100	59
LILRA6	28	35.714285714285715	85.71428571428571	100	28
PRR20A	32	34.375	75	96.875	32
CCSER1	57	33.333333333333336	100	100	57
USP14	59	25.423728813559322	67.79661016949153	100	59
GOLGA6L10	56	23.214285714285715	46.42857142857143	69.64285714285714	56
POLR2J2	46	21.73913043478261	58.69565217391305	71.73913043478261	46
ZNF146	37	16.216216216216218	70.27027027027027	100	37
GOLGA6D	56	16.071428571428573	80.35714285714286	94.64285714285714	56
CCDC200	44	15.909090909090908	54.54545454545455	84.0909090909091	44
LPA	54	14.814814814814815	48.148148148148145	96.29629629629629	54
C1QTNF3	56	12.5	41.07142857142857	58.92857142857143	56
KATNAL2	44	9.090909090909092	34.09090909090909	75	44
GOLGA6L4	57	1.7543859649122806	31.57894736842105	89.47368421052632	57
CYP2E1	47	0	44.680851063829785	82.97872340425532	47
